,article_title,country,population,region,revision_id,article_quality
0,Shahjahan Noori,Afghanistan,41.1,SOUTH ASIA,1099689043,GA
1,Abdul Ghafar Lakanwal,Afghanistan,41.1,SOUTH ASIA,943562276,Start
2,Majah Ha Adrif,Afghanistan,41.1,SOUTH ASIA,852404094,Start
3,Haroon al-Afghani,Afghanistan,41.1,SOUTH ASIA,1095102390,B
4,Tayyab Agha,Afghanistan,41.1,SOUTH ASIA,1104998382,Start
5,Ahmadullah Wasiq,Afghanistan,41.1,SOUTH ASIA,1109361754,Start
6,Aziza Ahmadyar,Afghanistan,41.1,SOUTH ASIA,1087211008,Start
7,Muqadasa Ahmadzai,Afghanistan,41.1,SOUTH ASIA,1082489593,Start
8,Mohammad Sarwar Ahmedzai,Afghanistan,41.1,SOUTH ASIA,1038918070,Start
9,Amir Muhammad Akhundzada,Afghanistan,41.1,SOUTH ASIA,1069322182,Start
10,Nasrullah Baryalai Arsalai,Afghanistan,41.1,SOUTH ASIA,1095526840,Start
11,Mohammad Asim Asim,Afghanistan,41.1,SOUTH ASIA,1013838830,Stub
12,Atiqullah Atifmal,Afghanistan,41.1,SOUTH ASIA,1112407669,Start
13,Abdul Rahim Ayoubi,Afghanistan,41.1,SOUTH ASIA,1108886061,Start
14,Alhaj Mutalib Baig,Afghanistan,41.1,SOUTH ASIA,1111494041,Start
15,Ismael Balkhi,Afghanistan,41.1,SOUTH ASIA,1112534409,Start
16,Abdul Baqi Turkistani,Afghanistan,41.1,SOUTH ASIA,889226470,Stub
17,Mohammad Ghous Bashiri,Afghanistan,41.1,SOUTH ASIA,1102150221,Start
18,Abas Basir,Afghanistan,41.1,SOUTH ASIA,1098419766,C
19,Jan Baz,Afghanistan,41.1,SOUTH ASIA,997027082,Stub
20,Ahmad Behzad,Afghanistan,41.1,SOUTH ASIA,1103948295,Start
21,Bashir Ahmad Bezan,Afghanistan,41.1,SOUTH ASIA,1060707209,Start
22,Rafiullah Bidar,Afghanistan,41.1,SOUTH ASIA,977208323,Stub
23,Mohammad Siddiq Chakari,Afghanistan,41.1,SOUTH ASIA,1105913099,Stub
24,Cheragh Ali Cheragh,Afghanistan,41.1,SOUTH ASIA,1087211968,Start
25,Nasir Ahmad Durrani,Afghanistan,41.1,SOUTH ASIA,988838315,Stub
26,Elay Ershad,Afghanistan,41.1,SOUTH ASIA,1102489654,Stub
27,Muhammad Hashim Esmatullahi,Afghanistan,41.1,SOUTH ASIA,949986748,Stub
28,Ezatullah (Nangarhar),Afghanistan,41.1,SOUTH ASIA,947885788,Stub
29,Aimal Faizi,Afghanistan,41.1,SOUTH ASIA,1033383351,Stub
30,Mohammad Nasim Faqiri,Afghanistan,41.1,SOUTH ASIA,1098051193,Start
31,Mohammad Nazar Faqiri,Afghanistan,41.1,SOUTH ASIA,1095525798,Stub
32,Sharif Ghalib,Afghanistan,41.1,SOUTH ASIA,1041460606,B
33,Hashmat Ghani Ahmadzai,Afghanistan,41.1,SOUTH ASIA,1112933356,C
34,Abdul Ghani Ghani,Afghanistan,41.1,SOUTH ASIA,1072441893,Stub
35,Ashraf Ghani,Afghanistan,41.1,SOUTH ASIA,1113195582,B
36,Abdul Samad Ghaus,Afghanistan,41.1,SOUTH ASIA,1072271854,Stub
37,Ghulam Ghaus,Afghanistan,41.1,SOUTH ASIA,1109361872,Stub
38,Ghulam Muhammad Ghobar,Afghanistan,41.1,SOUTH ASIA,1108886395,Stub
39,Mohammad Gul (Helmand Council),Afghanistan,41.1,SOUTH ASIA,1092523687,Stub
40,Ghulam Haider Hamidi,Afghanistan,41.1,SOUTH ASIA,1095018556,Start
41,Rangina Hamidi,Afghanistan,41.1,SOUTH ASIA,1104280812,C
42,Abdul Malik Hamwar,Afghanistan,41.1,SOUTH ASIA,1100874645,Stub
43,Sayed Zafar Hashemi,Afghanistan,41.1,SOUTH ASIA,1112804808,Start
